English,Category,SV,ES,EN
Expropriation,Society,Expropriation,Expropiación,Expropriation
Freedom of information,Society,Informationsfrihet,Libertad de información,Freedom of information
The National security,Society,Rikets säkerhet,La seguridad del estado,The National security
Freedom of assembly,Society,Mötesfrihet,Libertad de reunión,Freedom of assembly
Freedom of demonstration,Society,Demonstrationsfrihet,Libertad de manifestación,Freedom of demonstration
Freedom of association,Society,Föreningsfrihet,Libertad de asociación,Freedom of association
Ethnic group,Society,Folkgrupp,Grupo étnico,Ethnic group
Ethnic origin,Society,Etniskt ursprung,Origen étnico,Ethnic origin
Absolute freedoms and rights,Society,Absoluta fri- och rättigheter,Libertades y derechos absolutos,Absolute freedoms and rights
Freedom of religion,Society,Religionsfrihet,Libertad religiosa,Freedom of religion
Torture,Society,Tortyr,Tortura,Torture
Corporal punishent,Society,Kroppsstraff,Castigo corporal,Corporal punishent
Sanctity of private life,Society,Privatlivets helgd,Derecho a la intimidad,Sanctity of private life
Religious community,Society,Trossamfund,Comunidad religiosa,Religious community
Registration of opinions,Society,Åsiktsregistrering,Registro de opinión,Registration of opinions
Body search,Society,Kroppsvisitation,Cacheo,Body search
Integrity,Society,Integritet,Integridad,Integrity
Consent,Society,Samtycke,Consentimiento,Consent
The Principle of public access,Society,Offentlighetsprincipen,El principio de publicidad,The Principle of public access
Economics,Society,Nationalekonomi,Economía politica,Economics
Law,Society,Juridik,Derecho,Law
Court of law,Society,Domstol,Tribunal,Court of law
Public administration,Society,Offentlig förvaltning,Administración pública,Public administration
Parliament,Society,Riksdag,Parlamento,Parliament
Parliamentary session,Society,Riksdagssammanträde,Sesión parlamentaria,Parliamentary session
Deputy Speaker,Society,Vice talman,Vicepresidente del parlamento,Deputy Speaker
Committee report,Society,Utskottsbetänkande,Informes de la comisión,Committee report
National Audit Office,Society,Riksrevisionen,Dirección Nacional Sueca de Fiscalización de la Gestión Pública,National Audit Office
Director General,Society,Generaldirektör,Director General,Director General
Regeringschef,Society,Head of government,Jefe de Gobierno,Regeringschef
Minister,Society,Minister,Ministro,Minister
Civil Aviation Administration,Society,Luftfartsverket,Agencia de Navegación Aérea,Civil Aviation Administration
Swedish National Grid,Society,Svenska Kraftnät,Red eléctrica de Suecia,Swedish National Grid
Swedish Maritime Administration,Society,Sjöfartsverket,Administración Marítima,Swedish Maritime Administration
State administration,Society,Statsförvaltning,Administración pública,State administration
Committee,Society,Kommitté,Comités,Committee
Cabinet Minister,Society,Statsråd,Ministro,Cabinet Minister
State Secretary,Society,Statssekreterare,Secretario de estado,State Secretary
Consulate,Society,Konsulat,Consulado,Consulate
Embassy,Society,Ambassad,Embajada,Embassy
Press Secretary,Society,Pressekreterare,Secretario de prensa,Press Secretary
Chief Legal Officer,Society,Rättschef,Director Jurídico,Chief Legal Officer
Ministerial rule,Society,Ministerstyre,Dirección ministerial,Ministerial rule
Company,Society,Bolag,Sociedad,Company
Foundation,Society,Stiftelse,Fundacion,Foundation
EU company,Society,EU-bolag,Sociedad Europea,EU company
County Governor,Society,Landshövding,Gobernador civil,County Governor
Regional association,Society,Regionförbund,Federaciones regionales,Regional association
Internal audit,Society,Intern revision,Auditoria interna,Internal audit
Patient act,Society,Patientlagen,La ley de los derechos del paciente,Patient act
Communicable Diseases Act,Society,Smittskyddslagen,El Código de Vigilancia Epidemiológica,Communicable Diseases Act
Health and Medical Services Act,Society,Inspektionen för vård och omsorg IVO,Inspección de Sanidad y Bienestar Social,Health and Medical Services Act
Part-time politician,Society,Fritidspolitiker,Político no asalariado,Part-time politician
Elected representative,Society,Förtroendevald,Respresentate elegido,Elected representative
Public dental service,Society,Folktandvård,Atención dental pública,Public dental service
School health services,Society,Elevhälsa,Salud estudiantil,School health services
Occupational health services,Society,Företagshälsovård,Asistencia médica empresarial,Occupational health services
Primary care,Society,Primärvård,Atención primaria de salud,Primary care
County health services,Society,Länssjukvård,Atención médica provincial,County health services
Regional health services,Society,Regionsjukvård,Atención médica regional,Regional health services
Health center,Society,Vårdcentral,Centro de salud,Health center
Medical clinic,Society,Läkarmottagning,Centro médico,Medical clinic
District clinic,Society,Distriktsmottagning,Clínica del distrito,District clinic
Maternal and child health clinic,Society,Mödra- och barnavårdsmottagning,Centro de salud materno,Maternal and child health clinic
County administrative board,Society,Länsstyrelse,Gobierno civil,County administrative board
County sub-hospital,Society,Länsdelssjukhus,Hospital del condado,County sub-hospital
County hospital,Society,Länssjukhus,Hospital provincial,County hospital
Regional hospital,Society,Regionsjukhus,Hospital regional,Regional hospital
Outpatient care,Society,Öppen vård,Atención médica en consultas externas,Outpatient care
Migration law,Migration,Migrationsrätt,Derecho migratorio,Migration law
The Aliens Act,Migration,Utlänningslagen,La ley de extranjería,The Aliens Act
Public function,Migration,Samhällsfunktion,Función en la sociedad,Public function
Asylum system,Migration,Asylsystem,Sistema de asilo,Asylum system
Family reunification,Migration,Familjeåterförening,Reunificación familiar,Family reunification
Migration committee,Migration,Migrationskommitté,Comité de Migración,Migration committee
Migration policy,Migration,Migrationspolitik,Política migratoria,Migration policy
Convention commitment,Migration,Konventionsåtagande,Compromiso de convención,Convention commitment
Humanitarian,Migration,Humanitär,Humanitario,Humanitarian
Family ties,Migration,Anknytning,Vínculo familiar,Family ties
Distressing,Migration,Ömmande,Delicado,Distressing
Family immigration,Migration,Anhöriginvandring,Inmigración de reunificación familiar,Family immigration
Circumstance,Migration,Omständighet,Circunstancia,Circumstance
Convention,Migration,Konvention,Convención,Convention
Asylum Procedures Directive,Migration,Asylprocedurdirektivet,Directiva sobre procedimientos de asilo,Asylum Procedures Directive
Migration and Asylum Pact,Migration,Migrations- och asylpakt,Pacto sobre Migración y Asilo,Migration and Asylum Pact
Host country,Migration,Mottagarland,País receptor,Host country
Migrant,Migration,Migrant,Migrante,Migrant
Secondary movement,Migration,Sekundär förflyttning,Desplazamiento secundario,Secondary movement
The Reception Conditions Directive,Migration,Mottagardirektivet,La directiva de acogida,The Reception Conditions Directive
The Qualification Directive,Migration,Skyddsgrundsdirektivet,La directiva sobre los requisitos de protección,The Qualification Directive
The Return Directive,Migration,Återvändardirektivet,La directiva de retorno,The Return Directive
Ratify,Migration,Ratificera,Ratificar,Ratify
The Convention on the Rights of the Child,Migration,Barnkonventionen,La convención de los derechos del niño,The Convention on the Rights of the Child
Stateless,Migration,Statslös,Apátrida,Stateless
The Convention against Torture,Migration,Antitortyrkonventionen,La convención contra la tortura,The Convention against Torture
Swedish Migration Agency,Migration,Migrationsverket,La dirección general de migraciones,Swedish Migration Agency
Appropriation directions,Migration,Regleringsbrev,Carta de regulación,Appropriation directions
Guideline,Migration,Riktlinje,Pauta,Guideline
Immigration policy,Migration,Invandringspolitik,Política de inmigración,Immigration policy
Citizenship matter,Migration,Medborgarskapsfråga,Asunto de ciudadania,Citizenship matter
Return migration,Migration,Återvandring,Migración de retorno,Return migration
Immigration regulation,Migration,Invandringsreglering,Regularización de inmigración,Immigration regulation
Integration,Migration,Integration,Integración,Integration
Social cohesion,Migration,Samhällsgemenskap,Cohesión social,Social cohesion
Immigrant organization,Migration,Invandrarorganisation,Organización de inmigrantes,Immigrant organization
Operational activities,Migration,Operativ verksamhet,Actividad operativa,Operational activities
Independent function,Migration,Fristående funktion,Función independiente,Independent function
Agency staff,Migration,Myndighetsstab,Plana mayor de la autoridad,Agency staff
Advisory council,Migration,Insynsråd,Consejo de transparencia,Advisory council
Ethics council,Migration,Etiskt råd,Consejo ético,Ethics council
Legal and country information,Migration,Rätts- och landinformation,Información de los países y de su forma jurídica de gobierno,Legal and country information
Declaration of intent,Migration,Avsiktsförklaring,Declaración de intenciones,Declaration of intent
Social development,Migration,Samhällsutveckling,Desarrollo social,Social development
Network,Migration,Nätverk,Red,Network
E-collaboration program,Migration,e-samverkansprogram,Programa digital de cooperación,E-collaboration program
Migration Court,Migration,Migrationsdomstol,Tribunal de migración,Migration Court
Migration process,Migration,Migrationsprocess,Proceso de migración,Migration process
Administrative decision,Migration,Myndighetsbeslut,Resolución administrativa,Administrative decision
Migration Court of Appeal,Migration,Migrationsöverdomstol,Tribunal supremo de migración,Migration Court of Appeal
Reconsider,Migration,Ompröva,Reconsiderar,Reconsider
Appeal,Migration,Överklagande,Apelación,Appeal
Appoint,Migration,Förordna,Decretar,Appoint
Case,Migration,Ärende,Caso,Case
Readmission,Migration,Återtagande,Readmisión,Readmission
Personal data,Migration,Personuppgift,Dato personal,Personal data
Declaration of satisfaction,Migration,Nöjdförklaring,Declaración de conformidad,Declaration of satisfaction
Leave to appeal,Migration,Prövningstillstånd,Permiso de admisibilidad,Leave to appeal
Final instance,Migration,Slutinstans,Última instancia,Final instance
General Administrative Court,Migration,Allmän förvaltningsdomstol,Tribunal administrativo general,General Administrative Court
Supreme Administrative Court,Migration,Högsta förvaltningsdomstol,Tribunal supremo administrativo,Supreme Administrative Court
Asylum case,Migration,Asylmål,Caso de asilo,Asylum case
Family reunification case,Migration,Anknytningsmål,Casos de reagrupación familiar,Family reunification case
Permit case,Migration,Tillståndsmål,Casos de autorización,Permit case
Legally qualified judge,Migration,Juristdomare,Juez legal,Legally qualified judge
Lay jude,Migration,Nämndeman,Juez lego,Lay jude
Casting vote,Migration,Utslagsröst,Voto de calidad,Casting vote
Vote count,Migration,Röstetal,Número de votos,Vote count
Precedent,Migration,Prejudikat,Precedente,Precedent
Precedent-setting,Migration,Prejudicerande,Precedente,Precedent-setting
Case handling,Migration,Handläggning,Tramitación,Case handling
Public Access to Information and Secrecy Act,Migration,Offentlighets- och sekretesslagen,Ley de Publicidad y Secreto oficial,Public Access to Information and Secrecy Act
Oral,Migration,Muntlig,Oral,Oral
Closed doors,Migration,Stängda dörrar,Puertas cerradas,Closed doors
Hearing,Migration,Förhandling,Audiencia,Hearing
Party,Migration,Part,Parte,Party
Opposing party,Migration,Motpart,Contraparte,Opposing party
Two-party process,Migration,Tvåpartsprocess,Proceso inter partes,Two-party process
Set aside,Migration,Undanröja,Suprimir,Set aside
Remit,Migration,Återförvisa,Devolver,Remit
Court of first instance,Migration,Första instans,Primera instancia,Court of first instance
Public counsel,Migration,Offentligt biträde,Asistente jurídico de oficio,Public counsel
Eligibility requirements,Migration,Behörighetskrav,Requisitos de elegibilidad,Eligibility requirements
The Code of Judicial Procedure,Migration,Rättegångsbalken,El Código procesal,The Code of Judicial Procedure
The Administrative Procedure Act,Migration,Förvaltningsprocesslagen,La ley de procedimiento administrativo,The Administrative Procedure Act
Social welfare committee,Migration,Socialnämnd,Junta de bienestar social,Social welfare committee
Judicial review,Migration,Överprövning,Revisión,Judicial review
Protection status,Migration,Skyddstatus,Estatuto de protección,Protection status
Status determination,Migration,Statusförklaring,Declaración de estatuto,Status determination
Refugee,Migration,Flykting,Refugiado,Refugee
Person in need of alternative protection,Migration,Alternativt skyddsbehövande,Persona con necesidad de protección,Person in need of alternative protection
Person in need of subsidiary protection,Migration,Subsidiärt skyddsbehövande,Necesitado de protección subsidiaria,Person in need of subsidiary protection
Corporal punishment,Migration,Kroppsstraff,Castigo corporal,Corporal punishment
Persecution,Migration,Förföljelse,Persecución,Persecution
Punishment,Migration,Bestraffning,Castigo,Punishment
Armed conflict,Migration,Väpnad konflikt,Conflicto armado,Armed conflict
Refugee status determination,Migration,Flyktingstatusförklaring,Estatuto de refugiado,Refugee status determination
Alternative protection status determination,Migration,Alternativ skyddstatusförklaring,Estatuto de protección subsidiaria,Alternative protection status determination
Well-founded reason,Migration,Välgrundat skäl,Motivo fundado,Well-founded reason
Sudden infant death syndrome,Healthcare,Plötslig spädbarnsdöd,Muerte súbita infantil,Sudden infant death syndrome
Umbilical cord,Healthcare,Navelsträng,Cordón umbilical,Umbilical cord
Amniocentesis,Healthcare,Fostervattensprov,Amniocentesis,Amniocentesis
Braxton Hicks Contractions,Healthcare,Förvärkar,Primeras contracciones,Braxton Hicks Contractions
Contractions,Healthcare,Sammandragningar,Contracciones,Contractions
Vacuum extractor,Healthcare,Sugklocka,Ventosa,Vacuum extractor
Public disease,Healthcare,Folksjukdom,Enfermedad endémica,Public disease
Pallor,Healthcare,Blekhet,Palidez,Pallor
Gag reflex,Healthcare,Kräkreflex,Arcada,Gag reflex
Seasickness,Healthcare,Sjösjuka,Cinetosis,Seasickness
Palpitations,Healthcare,Hjärtklappning,Taquicardia,Palpitations
Moan,Healthcare,Gny,Gemir,Moan
Insomnia,Healthcare,Sömnlöshet,Insomnio,Insomnia
Itching,Healthcare,Klåda,Picazón,Itching
Pain attack,Healthcare,Smärtattack,Dolor agudo,Pain attack
Painkillers,Healthcare,Smärtstillande,Analgésicos,Painkillers
Dull ache,Healthcare,Molande värk,Dolor sordo,Dull ache
Radiating pain,Healthcare,Strålande smärta,Dolor irradiado,Radiating pain
Mucous membranes,Healthcare,Slemhinnor,Mucosas,Mucous membranes
Nerve cell,Healthcare,Nervcell,Neurona,Nerve cell
Eating habits,Healthcare,Kostvanor,Costumbres alimenticias,Eating habits
Oral cavity,Healthcare,Munhåla,Cavidad bucal,Oral cavity
Testing,Healthcare,Provtagning,Análisis,Testing
Referral,Healthcare,Remiss,Remisión,Referral
Routine test,Healthcare,Rutinprov,Prueba rutinaria,Routine test
Prevent,Healthcare,Förebygga,Prevenir,Prevent
Albumin,Healthcare,Äggvita,Proteína,Albumin
Reagent strip,Healthcare,Reagenssticka,Tira reactiva,Reagent strip
Bacilli,Healthcare,Baciller,Microbio,Bacilli
Cerebrospinal fluid,Healthcare,Ryggmärgsvätska,Líquido cefalorraquídeo,Cerebrospinal fluid
X-ray,Healthcare,Slätröntgen,Radiografía simple,X-ray
Computed Tomography,Healthcare,Skiktröntgen,Tomografía computarizada,Computed Tomography
Scintigraphy,Healthcare,Scintigrafi,Cintigrafía,Scintigraphy
Tissue damages,Healthcare,Vävnadsskador,Lesiones tilulares,Tissue damages
Magnetic resonance imaging,Healthcare,Magnetkameraröntgen,Resonancia magnética,Magnetic resonance imaging
Sound waves,Healthcare,Ljudvågor,Ondas sonoras,Sound waves
Cyst,Healthcare,Cysta,Quiste,Cyst
Prenatal diagnostics,Healthcare,Fosterdiagnostik,Diagnóstico fetal,Prenatal diagnostics
Enema,Healthcare,Lavemang,Enema,Enema
Pathological changes,Healthcare,Sjukliga förändringar,Cambios patológicos,Pathological changes
Cell sample,Healthcare,Cellprov,Citología,Cell sample
Cellular changes,Healthcare,Cellförändringar,Alteraciones celulares,Cellular changes
Myom,Healthcare,Muskelknuta,Mioma,Myom
Electroencephalography,Healthcare,Elektroencefalografi,Electroencefalografía,Electroencephalography
Stress EKG,Healthcare,Arbets-EKG,Electrocardiograma de esfuerzo,Stress EKG
Cannula,Healthcare,Kanyl,Cánula,Cannula
Lumpal puncture,Healthcare,Lumbalpunktion,Punción lumbar,Lumpal puncture
Congenital malformation,Healthcare,Medfödd missbildning,Malformación congénita,Congenital malformation
Childbirth,Healthcare,Förlossning,Parto,Childbirth
The embryo,Healthcare,Embryot,El embrión,The embryo
Fetus,Healthcare,Foster,El feto,Fetus
Fetal development,Healthcare,Fosterutvecklingen,El desarollo fetal,Fetal development
Placenta,Healthcare,Moderkaka,Placenta,Placenta
Amniotic fluid,Healthcare,Fostervatten,Líquido amniótico,Amniotic fluid
Amniotic membrane,Healthcare,Fosterhinna,Saco amniótico,Amniotic membrane
Ultrasound examination,Healthcare,Ultraljudsundersökning,Ecografía,Ultrasound examination
Breech presentation,Healthcare,Sätesbjudning,Presentación podálica,Breech presentation
Brow presentation,Healthcare,Pannbjudning,Presentación cefálica de occipucio posterior,Brow presentation
Vertex presentation,Healthcare,Kronbjudning,Presentación cefálica de occipucio anterior,Vertex presentation
Dilation stage,Healthcare,Öppningsskede,Fase de dilatación,Dilation stage
Expulsion stage,Healthcare,Utdrivningsskede,Fase de expulsión,Expulsion stage
Pushing impulses,Healthcare,Krystimpulser,Impulsos a empujar,Pushing impulses
Afterbirth stage,Healthcare,Efterbördsskede,Fase de alumbramiento,Afterbirth stage
Cesarean section,Healthcare,Kejsarsnitt,Cesárea,Cesarean section
Breastfeeding,Healthcare,Amning,Lactancia,Breastfeeding
Coordination ability,Healthcare,Koordinationsförmåga,Capacidad de coordinación,Coordination ability
Fine motor skills,Healthcare,Finmotorik,Motricidad fina,Fine motor skills
Neonatal period,Healthcare,Nyföddhetsperiod,Puerperio,Neonatal period
Infancy,Healthcare,Spädbarnsålder,Primera infancia,Infancy
Growth hormones,Healthcare,Tillväxthormoner,Hormonas de crecimiento,Growth hormones
Bodily fluids,Healthcare,Kroppsvätskor,Fluidos corporales,Bodily fluids
Objective symptoms,Healthcare,Objektiva symtom,Signos clínicos,Objective symptoms
Subjective symptoms,Healthcare,Subjektiva symtom,Síntomas subjetivos,Subjective symptoms
Symptom-free,Healthcare,Symtomfri,Asintomático,Symptom-free
Fatigue,Healthcare,Trötthet,Cansancio,Fatigue
General weakness,Healthcare,Allmän svaghet,Debilidad general,General weakness
Weight changes,Healthcare,Viktförändringar,Cambios de peso,Weight changes
Fever,Healthcare,Feber,Fiebre,Fever
Nausea,Healthcare,Illamående,Náuseas,Nausea
Vomiting,Healthcare,Kräkningar,Vómitos,Vomiting
Motion sickness,Healthcare,Åksjuka,Cinetosis,Motion sickness
Shortness of breath,Healthcare,Andnöd,Falta de aire,Shortness of breath
Cough,Healthcare,Hosta,Tos,Cough
Wheezing,Healthcare,Piper och väser,Estertores y Sibilancias,Wheezing
Cold,Healthcare,Förkylning,Resfriado,Cold
Dry cough,Healthcare,Torr hosta,Tos seca,Dry cough
Phlegmy expectoration,Healthcare,Slemmiga upphostningar,Expectoraciones mucosas,Phlegmy expectoration
Dizziness,Healthcare,Yrsel,Mareo,Dizziness
Fainting,Healthcare,Svimning,Desmayo,Fainting
Consciousness,Healthcare,Medvetande,Consciencia,Consciousness
Feeling of unease,Healthcare,Olustkänsla,Sensación de malestar,Feeling of unease
Cold sweat,Healthcare,Kallsvett,Sudor frío,Cold sweat
Pain,Healthcare,Smärta,Dolor,Pain
Pain attack,Healthcare,Smärtattack,Dolor agudo,Pain attack
Ache,Healthcare,Värk,Dolor,Ache
Headache,Healthcare,Huvudvärk,Dolor de cabeza,Headache
Tension headache,Healthcare,Spänningshuvudvärk,Dolor de cabeza tensional,Tension headache
Creeply-crawly sensation,Healthcare,Myrkrypningar,Hormigueos,Creeply-crawly sensation
Diagnosis,Healthcare,Diagnos,Diagnóstico,Diagnosis
Legal rule,Law,Rättsregel,Norma jurídica,Legal rule
Legal system,Law,Rättsordning/Rättssystem,Ordenamiento jurídico,Legal system
Remedy,Law,Rättsföljd,Consecuencia jurídica,Remedy
Legal security,Law,Rättssäkerhet,Seguridad jurídica,Legal security
Community governed by law,Law,Rättssamhälle,Sociedad de derecho,Community governed by law
State governed by law,Law,Rättsstat,Estado de derecho,State governed by law
Civil law,Law,Civilrätt,Derecho civil,Civil law
Administrative law,Law,Förvaltningsrätt,Derecho administrativo,Administrative law
Penal law,Law,Straffrätt,Derecho penal,Penal law
Crime,Law,Brott,Delito,Crime
Penalty,Law,Straff,Castigo,Penalty
Law of procedure,Law,Processrätt,Derecho procesal,Law of procedure
Administrative cases,Law,Förvaltningsmål,Caso administrativo,Administrative cases
Individual case,Law,Enskilt mål,Causa individual,Individual case
Right of common access,Law,Allemansrätt,Derecho que permite a las personas transitar por terrenos privados,Right of common access
Legal interpretation,Law,Lagtolkning,Interpretación jurídica,Legal interpretation
Preparatory work,Law,Förarbete,Anteproyecto,Preparatory work
Case law,Law,Rättspraxis,Jurisprudencia,Case law
Precedent,Law,Prejudikat,Precendente,Precedent
Precedential,Law,Prejudicerande,Precedente,Precedential
Proposition,Law,Proposition,Propisiciones,Proposition
Legislative process,Law,Lagstiftningsförfarande,Procedimiento legislativo,Legislative process
The form of Government,Law,Regeringsformen,La ley reguladora del gobierno,The form of Government
Gender-neutral,Law,Könsneutral,Neutral de género,Gender-neutral
The Act of Succession,Law,Successionsordningen,La ley de sucesiones,The Act of Succession
Freedom of the Press Act,Law,Tryckfrihetsförordningen,La ley de libertad de prensa,Freedom of the Press Act
The Fundamental Law on Freedom of Expression,Law,Yttrandefrihetsgrundlagen,La ley de libertad de expresión,The Fundamental Law on Freedom of Expression
Section of a law,Law,Lagråd,Consejo judicial,Section of a law
Motion,Law,Motion,Proposición de ley,Motion
Voting,Law,Omröstning,Votación,Voting
Section,Law,Balk,Código,Section
Law,Law,Lag,Ley,Law
Fundamental law,Law,Grundlag,Ley orgánica,Fundamental law
Directive,Law,Föreskrift,Normativa,Directive
Dispositive law,Law,Dispositiv lag,Ley dispositiva,Dispositive law
Mandatory law,Law,Indispositiv lag,Ley imperativa,Mandatory law
Ordinance,Law,Förordning,Decreto,Ordinance
Terms of reference,Law,Direktiv,Directivas,Terms of reference
Decision,Law,Beslut,Resolución,Decision
Legal facts,Law,Rättsfakta,Hechos jurídicos,Legal facts
Local government law,Law,Kommunalrätt,Derecho municipal,Local government law
Principle of legality,Law,Legalitetsprincipen,El principio de legalidad,Principle of legality
International law,Law,Folkrätt,Derecho internacional,International law
Fiscal law,Law,Skatterätt,Derecho tributario,Fiscal law
Broad interpretation,Law,Extensiv tolkning,Interpretación extensiva,Broad interpretation
Public legal system,Law,Offentligt rättssystem,Sistema jurídico público,Public legal system
EU law,Law,EU-rätt,Derecho de la UE,EU law
Power of judicial review,Law,Lagprövningsrätt,Derecho de los tribunales a examinar una ley,Power of judicial review
The European Parliament,Law,Europaparlamentet,El Parlamento Europeo,The European Parliament
Ministry of Employment,Law,Arbetsmarknadsdepartementet,El Ministerio de trabajo,Ministry of Employment
Ministry of Finance,Law,Finansdepartementet,El Ministerio de Economía,Ministry of Finance
Ministry of Defence,Law,Försvarsdepartementet,El Ministerio de Defensa,Ministry of Defence
Ministry of Justice,Law,Justitiedepartementetet,El Ministerio de Justicia,Ministry of Justice
Ministry of Culture,Law,Kulturdepartementet,El Ministerio de Cultura,Ministry of Culture
Ministry of Environment and Energy,Law,Miljö- och energidepartementet,El Ministerio de Medio ambiente y Energía,Ministry of Environment and Energy
Ministry of Enterprise,Law,Näringsdepartementet,El Ministerio de Industria y Comercio,Ministry of Enterprise
Ministry of Health and Social Affairs,Law,Socialdepartementet,El Ministerio de Asuntos Sociales,Ministry of Health and Social Affairs
Ministry of Education and Research,Law,Utbildningsdepartementet,El Ministerio de Educación,Ministry of Education and Research
Supervisory authority,Law,Tillsynsmyndighet,Autoridad de supervisión,Supervisory authority
Regional council,Law,Regionfullmäktige,Asamblea regional,Regional council
Auditor,Law,Revisor,Auditor,Auditor
Judicial review,Law,Laglighetsprövning,Control de legalidad,Judicial review
Administrative appeal,Law,Förvaltningsbesvär,Apelación administrativa,Administrative appeal
Electoral committee,Law,Valnämnd,Junta electoral,Electoral committee
Guardianship board,Law,Överförmyndarnämnd,Junta de tutelas,Guardianship board
Chief Guardian,Law,Överförmyndare,Supervisor de tutelas,Chief Guardian
Municipal Director,Law,Kommundirektör,Gerente Municipal,Municipal Director
EU council of Ministers,Law,EU:s ministerråd,Consejo de ministros de la UE,EU council of Ministers
European Council,Law,Europeiska rådet,El consejo Europeo,European Council
Building permit,Law,Bygglov,Licencia de obra,Building permit
European Commission,Law,EU-kommissionen,La Comisión Europea,European Commission
European Court of Justice,Law,EU-domstolen,El tribunal de Justicia de la Unión Europea,European Court of Justice
General Court,Law,Tribunalen,El tribunal,General Court
European Court of Auditors,Law,Revisionsrätten,El tribunal de cuentas Europeo,European Court of Auditors
European Economic and Social Committee,Law,Ekonomiska och Sociala kommittén,El Comité Económico y Social,European Economic and Social Committee
Administrative Procedure Act,Law,Förvaltningslagen FL,La Ley de Administración Pública,Administrative Procedure Act
Public Access to Information and Secrecy Act,Law,Offentlighets- och sekretesslagen,La ley de transparencia y de confidencialidad de documentos públicos,Public Access to Information and Secrecy Act
Delay action,Law,Dröjsmålstalan,Demanda por demora,Delay action
Conflict of interest,Law,Jäv,Recusación,Conflict of interest
Reconsideration,Law,Omprövning,Reconsideración,Reconsideration
Public access to documents,Law,Handlingsoffentlighet,Publicidad de documentos,Public access to documents
Public access to negotiations,Law,Förhandlingsoffentlighet,Publicidad procesal,Public access to negotiations
Public record,Law,Allmän handling,Documento público,Public record
Classified,Law,Sekretessbelagd,Confidencial,Classified
Lawbreaker,Law,Lagöverträdare,Infractor,Lawbreaker
Non-disclosure order,Law,Yppandeförbud,Prohibición de revelación,Non-disclosure order
Public defender,Law,Offentlig försvarare,Defensor público,Public defender
Preliminary investigation,Law,Förundersökning,Investigación preliminar,Preliminary investigation
Preliminary investigation leader,Law,Förundersökningsledare,Encargado de la investigación preliminar,Preliminary investigation leader
Private deliberation,Law,Enskild överläggning,Deliberación en privado,Private deliberation
Verdict,Law,Dom,Sentencia,Verdict
Administrative court,Law,Förvaltningsrätt,Tribunal administrativo de primera instancia,Administrative court
Administrative Court of Appeal,Law,Kammarrätt,Tribunal administrativo de apelación,Administrative Court of Appeal
Citizenship Act,Law,Medborgarskapslag,Ley de ciudadanía,Citizenship Act
Population Register,Law,Folkbokföringsregistret,El registro civil,Population Register
Registered in the national registry,Law,Folkbokförd,Empadronado,Registered in the national registry
Birth certificate,Law,Personbevis,Extracto del registro civil,Birth certificate
Swedish Intelligence Agency,Law,Säkerhetspolisen,Policia sueca de seguridad,Swedish Intelligence Agency
Acquire,Law,Förvärva,Adquirir,Acquire
